DayN,SM,MM,MS,SS
594,0.0,1.535,7.145,0.0
595,27.562,0.0,4.911,147.776
596,0.0,0.418,0.0,121.158
597,0.0,0.808,0.0,0.0
598,46.48,0.739,43.645,854.265
599,1.204,0.0,0.0,0.0
600,0.0,0.579,0.0,0.0
601,0.0,0.0,2.393,3.049
602,40.721,0.258,5.713,0.0
603,0.0,0.0,0.0,0.0
604,5.531,0.0,19.007,156.283
605,40.532,1.834,5.715,502.975
606,63.849,0.0,0.0,206.673
607,0.0,0.573,0.912,0.0
608,0.0,0.013,0.0,8.633
609,0.0,0.0,2.732,0.0
610,0.0,0.0,0.0,30.522
611,29.545,0.865,0.502,0.0
612,58.979,0.0,17.28,734.691
613,32.14,1.409,5.317,816.569
614,0.0,0.0,0.0,0.0
615,0.0,0.567,0.0,0.0
616,0.0,0.0,0.0,0.0
617,0.0,0.864,10.596,9.969
618,21.085,0.0,0.0,0.0
619,53.567,0.0,18.72,663.43
620,27.84,1.219,28.924,570.349
621,0.0,0.0,0.329,0.0
622,58.974,0.31,0.0,117.973
623,0.0,0.029,14.35,0.0
624,73.85,0.854,0.0,39.478
625,0.0,0.0,17.723,0.0
626,52.585,1.092,58.042,1154.667
627,18.503,0.535,0.0,330.236
628,0.0,0.0,0.0,0.0
629,0.0,0.0,0.0,0.0
630,0.0,1.71,0.0,0.0
631,0.0,0.924,0.0,0.0
632,0.0,2.945,0.0,0.0
633,89.486,0.0,23.363,1067.37
634,12.609,0.0,19.82,195.324
635,0.0,0.534,0.0,0.0
636,0.0,0.0,0.0,0.0
637,0.0,0.0,1.001,0.0
638,25.88,0.688,19.938,101.412
639,0.0,0.035,0.0,0.0
640,91.699,0.399,8.461,1281.473
641,0.0,1.111,12.009,0.0
